21:45:33 | shadow.cerberus      | INFO    | Cerberus shutting down. Checks: 3, Denials: 0, False positives: 0
21:45:33 | shadow.reaper        | INFO    | Reaper shutting down.
21:45:33 | shadow.orchestrator  | INFO    | Shadow offline.
22:01:14 | shadow.grimoire      | INFO    | Grimoire initialized. DB: data/memory/shadow_memory.db
22:01:14 | shadow               | INFO    | Grimoire initialized: online
22:01:14 | shadow               | INFO    | Reaper wired to Grimoire
22:01:14 | shadow.cerberus      | INFO    | Cerberus initialized. Config hash: e59bab82470eef12
22:01:14 | shadow               | INFO    | Module 'cerberus' initialized: online
22:01:18 | shadow.reaper        | INFO    | Reaper initialized. Search backends ready.
22:01:18 | shadow               | INFO    | Module 'reaper' initialized: online
22:01:19 | shadow               | INFO    | Registered module: grimoire
22:01:19 | shadow               | INFO    | Registered module: cerberus
22:01:19 | shadow               | INFO    | Registered module: reaper
22:01:19 | shadow.orchestrator  | INFO    | State loaded. Interaction count: 9
22:01:23 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'hello'
22:01:23 | shadow.orchestrator  | INFO    | Fast-path classified: hello → conversation
22:01:23 | shadow.orchestrator  | INFO    | Step 2 — Route: type=conversation, module=direct, brain=fast_brain
22:01:23 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 1 items
22:01:23 | shadow.orchestrator  | INFO    | Step 4 — Plan: 1 steps, cerberus=True
22:01:28 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:01:28 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #10 (5160.4ms)
22:01:58 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'search for RTX 5090 restock'
22:01:58 | shadow.orchestrator  | INFO    | Fast-path classified: search for RTX 5090 restock → research
22:01:58 | shadow.orchestrator  | INFO    | Step 2 — Route: type=research, module=reaper, brain=fast_brain
22:02:00 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 3 items
22:02:00 | shadow.orchestrator  | INFO    | Step 4 — Plan: 2 steps, cerberus=True
22:02:03 | primp                | INFO    | response: https://www.bing.com/search?q=RTX+5090+restock 200
22:02:09 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:02:09 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #11 (11060.6ms)
22:02:30 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'explain quantum computing'
22:02:33 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:02:33 | shadow.orchestrator  | INFO    | Step 2 — Route: type=research, module=reaper, brain=fast_brain
22:02:35 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 3 items
22:02:35 | shadow.orchestrator  | INFO    | Step 4 — Plan: 2 steps, cerberus=True
22:02:38 | primp                | INFO    | response: https://www.bing.com/search?q=explain+quantum+computing 200
22:02:47 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:02:47 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #12 (17106.4ms)
22:04:55 | shadow.orchestrator  | INFO    | Shadow shutting down...
22:04:55 | shadow.grimoire      | INFO    | Grimoire shutting down. Memories persist on disk.
